WorkerID,StartTimeAvailable,PerformanceRating,AvailabilityTime
W0001,0.12,1.04,73.93
W0002,0.14,0.86,56.26
W0003,0.27,1.87,108.74
W0004,0.57,1.73,132.69
W0005,1.08,1.07,92.29
W0006,2.09,1.76,45.62
W0007,2.10,1.87,93.62
W0008,2.21,0.79,112.42
W0009,2.22,0.64,58.25
W0010,2.38,0.78,148.06
W0011,2.51,0.7,96.16
W0012,3.06,1.86,153.82
W0013,3.10,0.7,163.43
W0014,3.41,0.66,69.24
W0015,3.43,0.63,44.0
W0016,4.20,0.93,65.55
W0017,4.48,0.85,48.09
W0018,5.15,1.09,21.7
W0019,5.34,1.74,151.62
W0020,5.50,1.06,92.97
W0021,5.54,1.82,73.23
W0022,5.56,2.0,137.57
W0023,6.33,0.73,97.01
W0024,6.39,1.16,28.47
W0025,6.54,0.61,34.21
W0026,7.21,0.65,118.64
W0027,7.25,0.93,64.11
W0028,7.34,1.41,163.91
W0029,7.40,1.12,71.84
W0030,7.46,1.71,155.35
W0031,8.43,1.98,164.1
W0032,9.07,1.89,23.26
W0033,9.24,1.72,46.93
W0034,9.28,1.94,59.68
W0035,9.43,1.63,125.64
W0036,9.51,1.62,136.65
W0037,10.05,1.6,97.52
W0038,10.09,1.03,31.43
W0039,10.27,1.24,73.58
W0040,10.33,1.06,176.07
W0041,11.11,0.71,116.34
W0042,12.09,1.25,148.49
W0043,12.37,1.15,162.5
W0044,13.02,1.26,145.93
W0045,13.27,1.43,114.97
W0046,13.28,1.01,53.89
W0047,13.41,0.64,35.58
W0048,13.44,1.73,179.35
W0049,13.46,1.62,28.79
W0050,13.48,0.91,97.52
W0051,14.02,1.25,48.98
W0052,15.00,1.51,103.96
W0053,16.25,0.92,116.15
W0054,16.26,0.87,92.6
W0055,16.30,0.69,27.26
W0056,16.52,1.02,116.76
W0057,17.06,1.64,94.91
W0058,18.14,1.76,23.8
W0059,19.01,1.99,27.55
W0060,19.40,1.78,142.79
W0061,19.51,1.75,28.28
W0062,20.21,1.34,54.38
W0063,20.34,0.62,28.79
W0064,21.48,1.24,36.3
W0065,21.52,1.79,163.76
W0066,22.09,1.02,60.7
W0067,22.13,1.97,153.96
W0068,22.37,0.86,159.88
W0069,22.57,1.33,28.0
W0070,23.00,1.8,142.11
W0071,23.16,0.64,139.65
W0072,23.23,0.72,136.62
W0073,23.29,1.89,176.79
W0074,23.53,1.77,81.87
W0075,23.55,0.67,104.63
