WorkerID,StartTimeAvailable,PerformanceRating,AvailabilityTime
W0001,0.00,0.97,87.25
W0002,0.00,1.43,142.0
W0003,0.00,0.81,25.72
W0004,0.00,1.89,155.69
W0005,0.00,1.13,37.66
W0006,0.00,0.77,118.95
W0007,0.00,1.74,116.42
W0008,0.00,1.58,86.22
W0009,0.00,1.72,160.36
W0010,0.00,1.88,148.17
W0011,0.00,0.94,117.69
W0012,0.00,1.52,86.16
W0013,0.00,1.82,172.18
W0014,0.00,0.9,48.46
W0015,0.00,1.02,133.2
W0016,0.00,1.67,109.65
W0017,0.00,1.98,116.79
W0018,0.00,0.6,82.01
W0019,0.00,1.88,21.59
W0020,0.00,1.3,131.96
W0021,0.02,1.22,69.45
W0022,0.05,1.79,74.94
W0023,0.06,1.68,49.12
W0024,0.16,0.93,148.57
W0025,0.21,1.38,68.04
W0026,0.22,1.32,90.05
W0027,0.23,0.99,143.01
W0028,0.26,1.08,162.39
W0029,0.28,0.62,50.84
W0030,0.28,1.73,52.83
W0031,0.29,1.35,160.8
W0032,0.49,0.87,42.14
W0033,0.49,1.19,108.11
W0034,1.03,1.18,42.03
W0035,1.05,1.35,89.45
W0036,1.18,1.1,162.94
W0037,1.30,1.44,56.62
W0038,1.38,1.79,110.68
W0039,1.39,1.1,156.31
W0040,1.40,1.97,127.07
W0041,1.45,1.87,116.43
W0042,1.47,1.22,163.36
W0043,1.52,0.62,61.94
W0044,2.01,1.25,94.01
W0045,2.09,1.59,67.4
W0046,2.09,1.45,98.3
W0047,2.10,0.67,155.66
W0048,2.15,1.74,103.81
W0049,2.20,1.1,65.03
W0050,2.25,0.64,79.0
W0051,2.32,0.6,29.78
W0052,2.39,1.36,176.6
W0053,2.41,1.53,32.79
W0054,2.48,1.79,128.07
W0055,2.48,1.05,142.73
W0056,2.52,1.96,92.49
W0057,3.00,1.94,33.29
W0058,3.02,1.14,68.58
W0059,3.06,1.28,61.74
W0060,3.07,1.63,157.47
W0061,3.08,1.42,148.16
W0062,3.09,1.13,27.41
W0063,3.17,1.96,110.39
W0064,3.30,1.6,39.07
W0065,3.32,1.77,87.55
W0066,3.46,1.28,143.43
W0067,3.50,1.73,142.27
W0068,3.51,0.7,131.08
W0069,3.54,0.77,23.07
W0070,3.54,0.78,75.78
W0071,4.07,1.87,89.9
W0072,4.16,1.28,153.49
W0073,4.17,1.01,161.51
W0074,4.20,0.73,170.68
W0075,4.30,1.99,94.94
W0076,4.31,1.04,111.73
W0077,4.34,1.62,26.47
W0078,4.42,1.03,154.17
W0079,4.48,0.64,129.05
W0080,4.50,1.24,162.93
W0081,4.59,0.63,146.33
W0082,5.00,1.27,159.78
W0083,5.05,0.88,23.63
W0084,5.07,1.95,134.32
W0085,5.08,1.92,119.78
W0086,5.12,0.64,172.9
W0087,5.23,1.65,142.75
W0088,5.37,1.89,62.55
W0089,5.44,0.96,41.27
W0090,5.49,1.14,152.12
W0091,5.52,1.78,163.37
W0092,5.59,1.68,74.8
W0093,6.03,1.19,154.96
W0094,6.06,0.76,100.18
W0095,6.07,1.22,147.95
W0096,6.08,0.68,121.51
W0097,6.08,1.13,175.42
W0098,6.12,1.8,93.68
W0099,6.18,1.5,80.86
W0100,6.30,0.73,156.04
W0101,6.32,0.88,27.67
W0102,6.33,1.95,172.03
W0103,6.46,1.74,89.52
W0104,6.48,1.1,31.02
W0105,6.49,1.94,178.8
W0106,6.49,1.89,56.19
W0107,6.53,1.41,145.49
W0108,6.54,0.72,36.46
W0109,6.55,1.02,77.47
W0110,7.01,1.86,76.66
W0111,7.07,1.33,172.45
W0112,7.09,0.95,128.03
W0113,7.12,1.22,61.38
W0114,7.13,1.84,125.68
W0115,7.14,0.71,60.49
W0116,7.17,0.66,160.88
W0117,7.17,1.32,120.67
W0118,7.25,0.69,138.99
W0119,7.26,0.84,147.84
W0120,7.28,0.93,87.17
W0121,7.29,1.79,39.52
W0122,7.31,1.07,40.31
W0123,7.37,0.88,76.56
W0124,7.40,1.74,110.21
W0125,8.02,0.87,168.85
W0126,8.09,1.52,52.7
W0127,8.23,0.72,82.46
W0128,8.38,1.71,122.74
W0129,8.38,0.87,157.56
W0130,8.50,1.29,78.3
W0131,9.05,1.98,155.8
W0132,9.22,0.96,27.62
W0133,9.36,1.17,72.94
W0134,9.38,1.99,158.17
W0135,9.48,0.7,55.58
W0136,9.50,1.65,109.73
W0137,10.01,1.95,74.85
W0138,10.04,1.21,142.1
W0139,10.05,0.9,164.98
W0140,10.07,1.76,81.67
W0141,10.09,1.78,171.58
W0142,10.10,1.33,70.37
W0143,10.13,1.24,140.93
W0144,10.15,1.42,117.86
W0145,10.19,1.93,50.26
W0146,10.27,1.88,178.86
W0147,10.28,0.88,158.25
W0148,10.32,1.41,40.25
W0149,10.37,1.21,30.33
W0150,10.40,1.8,61.58
W0151,10.42,0.8,77.58
W0152,10.47,1.03,39.83
W0153,10.55,1.14,179.09
W0154,10.58,0.69,20.26
