WorkerID,StartTimeAvailable,PerformanceRating,AvailabilityTime
W0001,0.00,0.8,45.58
W0002,0.00,1.89,65.26
W0003,0.00,0.63,165.85
W0004,0.00,1.15,142.42
W0005,0.00,1.2,39.52
W0006,0.10,1.49,118.4
W0007,0.11,0.96,88.49
W0008,0.36,1.98,109.93
W0009,0.40,1.74,152.47
W0010,0.45,1.42,145.64
W0011,0.48,1.26,88.61
W0012,0.52,1.91,58.61
W0013,0.54,1.46,53.71
W0014,0.57,0.83,41.21
W0015,0.59,1.4,126.83
W0016,1.00,1.75,129.76
W0017,1.17,1.82,134.28
W0018,1.28,1.85,59.48
W0019,1.29,1.27,45.13
W0020,1.34,1.48,91.14
W0021,1.34,1.66,41.14
W0022,1.46,1.61,142.88
W0023,1.50,1.52,89.38
W0024,1.52,0.67,162.41
W0025,1.54,1.87,60.34
W0026,2.06,1.85,23.03
W0027,2.08,1.37,23.1
W0028,2.09,1.93,32.96
W0029,2.11,1.16,112.26
W0030,2.26,1.41,44.55
W0031,2.39,1.26,32.25
W0032,2.42,1.26,54.3
W0033,2.50,0.62,82.72
W0034,2.53,1.02,67.03
W0035,2.58,1.02,108.66
W0036,3.00,1.52,69.63
W0037,3.01,1.26,64.87
W0038,3.02,1.17,53.67
W0039,3.05,1.81,33.44
W0040,3.08,1.82,139.97
W0041,3.16,1.84,85.91
W0042,3.23,0.93,141.91
W0043,3.25,1.83,46.15
W0044,3.29,0.97,158.37
W0045,3.30,1.48,63.61
W0046,3.32,0.98,65.56
W0047,3.35,1.28,92.49
W0048,3.36,1.6,77.8
W0049,3.38,1.09,21.34
W0050,3.43,0.78,68.77
W0051,3.44,0.94,33.0
W0052,3.45,1.67,105.36
W0053,3.47,1.59,49.7
W0054,3.48,1.3,50.59
W0055,3.53,0.95,96.39
W0056,3.55,1.45,156.07
W0057,4.02,0.6,38.41
W0058,4.11,1.67,79.36
W0059,4.14,1.95,38.31
W0060,4.26,0.77,79.14
W0061,4.26,1.51,47.48
W0062,4.29,0.67,113.05
W0063,4.41,1.53,20.47
W0064,4.50,1.2,118.67
W0065,4.58,1.78,155.38
W0066,5.10,0.76,84.42
W0067,5.12,1.57,86.9
W0068,5.13,0.67,173.52
W0069,5.14,1.93,111.8
W0070,5.18,1.3,71.53
W0071,5.18,1.32,108.6
W0072,5.27,1.22,148.68
W0073,5.40,1.99,34.52
W0074,5.55,1.5,95.05
W0075,5.59,0.7,121.18
W0076,6.02,0.81,153.03
W0077,6.05,1.31,76.09
W0078,6.14,1.08,41.17
W0079,6.18,1.58,89.57
W0080,6.38,1.62,107.06
W0081,6.39,1.41,102.73
W0082,6.44,0.6,71.86
W0083,6.46,0.97,81.25
W0084,7.02,1.53,68.68
W0085,7.17,0.73,50.91
W0086,7.23,1.01,149.3
W0087,7.27,1.02,53.29
W0088,7.27,0.83,52.89
W0089,7.40,0.84,32.95
W0090,7.49,1.96,35.49
W0091,7.52,1.35,143.35
W0092,8.01,1.46,125.84
W0093,8.03,0.68,65.14
W0094,8.04,0.72,50.73
W0095,8.07,1.31,47.9
W0096,8.08,0.92,151.46
W0097,8.09,0.8,60.26
W0098,8.16,0.64,103.28
W0099,8.18,1.14,147.29
W0100,8.19,0.68,153.61
W0101,8.30,1.2,114.3
W0102,8.31,1.2,39.39
W0103,8.33,1.3,43.58
W0104,8.51,1.7,41.03
W0105,8.53,1.72,123.31
W0106,9.04,0.72,139.75
W0107,9.18,0.86,97.58
W0108,9.21,0.93,98.29
W0109,9.23,1.48,75.85
W0110,10.00,0.68,105.53
W0111,10.02,1.94,109.67
W0112,10.02,0.68,32.94
W0113,10.03,1.22,72.09
W0114,10.03,1.13,143.02
W0115,10.03,1.4,60.57
W0116,10.04,1.25,42.63
W0117,10.05,1.81,162.62
W0118,10.06,1.12,53.49
W0119,10.09,0.7,178.81
W0120,10.13,0.61,87.49
W0121,10.13,1.72,64.06
W0122,10.13,0.92,107.8
W0123,10.14,1.2,111.04
W0124,10.16,1.92,126.64
W0125,10.19,1.41,114.01
W0126,10.21,0.94,72.83
W0127,10.21,1.55,54.9
W0128,10.22,0.91,24.4
W0129,10.23,1.98,30.63
W0130,10.24,1.67,134.61
