WorkerID,StartTimeAvailable,PerformanceRating,AvailabilityTime
W0001,0.00,0.61,126.39
W0002,0.00,1.59,50.4
W0003,0.00,0.77,144.55
W0004,0.00,1.79,33.75
W0005,0.06,0.99,20.14
W0006,0.21,1.36,164.24
W0007,0.23,0.87,86.23
W0008,0.28,1.89,104.12
W0009,0.34,1.67,55.85
W0010,0.39,0.96,166.18
W0011,0.46,0.68,47.8
W0012,0.50,1.83,126.66
W0013,0.53,0.71,78.78
W0014,0.54,0.82,163.57
W0015,0.58,1.77,145.25
W0016,1.07,1.07,133.15
W0017,1.08,1.06,77.0
W0018,1.19,0.76,140.55
W0019,1.25,1.7,89.02
W0020,1.34,0.9,97.42
W0021,1.35,1.42,55.36
W0022,1.49,1.56,145.13
W0023,1.56,1.04,84.41
W0024,2.00,1.86,143.23
W0025,2.15,1.81,125.47
W0026,2.35,1.82,51.33
W0027,2.45,1.38,65.22
W0028,2.51,1.15,50.37
W0029,2.52,1.71,122.02
W0030,3.12,1.61,158.51
W0031,3.30,1.46,127.33
W0032,3.31,1.07,46.37
W0033,3.34,1.39,26.19
W0034,3.35,0.62,73.42
W0035,3.43,1.64,133.66
W0036,3.49,1.0,151.4
W0037,3.50,1.84,73.82
W0038,3.51,0.62,129.53
W0039,3.56,1.79,51.98
W0040,4.11,0.81,83.47
W0041,4.19,0.8,99.6
W0042,4.24,1.83,145.61
W0043,4.26,0.72,152.87
W0044,4.27,1.67,25.65
W0045,4.28,1.21,100.55
W0046,4.28,0.95,75.65
W0047,4.31,1.77,78.62
W0048,4.43,0.96,38.45
W0049,4.59,1.89,133.53
W0050,5.01,1.33,173.33
W0051,5.06,1.13,71.25
W0052,5.33,1.16,29.75
W0053,5.34,1.72,174.27
W0054,5.41,1.6,92.04
W0055,5.43,1.15,140.03
W0056,5.50,1.64,176.67
W0057,5.50,1.34,51.65
W0058,5.57,0.82,123.85
W0059,6.02,1.99,90.45
W0060,6.02,0.78,64.06
W0061,6.06,1.37,25.1
W0062,6.10,0.86,157.61
